,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
351,MARALOVER,-1,13,Contracting,,32.46753246753251,11.4,-1
352,TRIDENT,1,3,Expanding,,40.740740740740726,6.7,1
353,NAGREEKEXP,-1,8,Contracting,,35.0,11.35,-1
354,ZODIACLOTH,-1,11,Contracting,,30.988023952095787,114.7,-1
355,SUPERSPIN,,,,,,0.0,0
356,SURYALAXMI,,,,,,0.0,0
357,KITEX,-1,1,Contracting,,46.72131147540988,103.7,-1
358,WINDMACHIN,-1,19,Contracting,,30.00000000000003,12.1,-1
359,SHANTIGEAR,-1,14,Expanding,,59.44540727902944,84.45,-1
360,HONDAPOWER,1,43,Contracting,,62.29668184775542,1017.4,-1
361,HITECHGEAR,-1,12,Contracting,,37.109375000000014,101.8,-1
362,ELGIEQUIP,1,51,Contracting,,59.16230366492143,159.8,-1
363,TIMKEN,-1,1,Contracting,,50.28005974607917,969.95,-1
364,PRAJIND,-1,5,Contracting,,33.57664233576641,59.85,-1
365,GUJAPOLLO,-1,6,Contracting,,21.806853582554524,163.4,-1
366,MMFL,1,40,Contracting,,55.979202772963596,185.1,-1
367,MAYURUNIQ,1,45,Contracting,,48.790601243953006,218.5,-1
368,JMCPROJECT,-1,9,Contracting,,18.11023622047243,44.85,-1
369,KALPATPOWR,-1,1,Contracting,,32.631578947368396,229.1,-1
370,WEIZMANIND,1,45,Expanding,,70.62499999999997,32.7,0
371,EIHAHOTELS,1,3,Expanding,,27.740863787375403,254.4,0
372,KOKUYOCMLN,-1,16,Expanding,,33.33333333333333,52.45,-1
373,ADVANIHOTR,-1,14,Contracting,,21.585903083700458,40.4,-1
374,SUPERHOUSE,1,44,Contracting,,51.348039215686285,84.0,-1
375,BALMLAWRIE,1,8,Contracting,,45.28023598820061,110.3,-1
376,DCMSHRIRAM,1,48,Contracting,,67.39674593241554,339.25,-1
377,MAWANASUG,,,,,,0.0,0
378,NILKAMAL,1,42,Expanding,,73.76283846872082,1229.6,0
379,NAHARPOLY,1,73,Contracting,,46.290801186943646,61.35,-1
380,3MINDIA,1,33,Contracting,,80.6712653792366,21078.0,-1
381,JMFINANCIL,1,43,Contracting,,49.479940564635974,74.7,-1
382,RIIL,1,47,Contracting,,52.154626108998734,407.05,-1
383,LINDEINDIA,1,43,Contracting,,43.63704819277107,632.8,-1
384,PRECWIRE,-1,1,Contracting,,38.963963963963955,98.95,-1
385,SCI,-1,1,Contracting,,46.26168224299064,54.0,-1
386,ITI,1,78,Contracting,,52.213188798554675,128.95,-1
387,DREDGECORP,1,73,Contracting,,45.64851207186974,259.9,-1
388,NFL,1,78,Contracting,,59.40054495912808,35.55,-1
389,PIIND,1,20,Contracting,,58.4693546643606,1760.55,-1
390,PLASTIBLEN,-1,11,Contracting,,34.5351043643264,160.0,-1
391,APCOTEXIND,-1,6,Contracting,,29.304635761589438,113.2,-1
392,MASTEK,1,46,Expanding,,80.8773424190801,572.35,-1
393,ASHIANA,-1,2,Contracting,,18.694362017804124,59.3,-1
394,SREINFRA,-1,12,Contracting,,29.85074626865672,6.4,-1
395,MENONBE,-1,2,Contracting,,19.63190184049087,38.35,-1
396,SIMPLEXINF,-1,1,Contracting,,47.35516372795969,30.95,-1
397,MAGMA,1,38,Contracting,,56.378600823045275,25.75,-1
398,POLYPLEX,1,47,Contracting,,60.647078243644785,587.05,-1
399,KABRAEXTRU,-1,13,Expanding,,31.847133757961743,52.8,-1
400,VINYLINDIA,-1,14,Contracting,,20.192307692307665,81.0,-1
401,VINATIORGA,-1,13,Contracting,,26.96420269642026,977.95,-1
